data,ticker,peso,dinheiro_por_acao,preco_compra,quantidade_acoes,preco_fechamento_ajustado
2011-10-26,CGAS5,0.5,4982.100238663484,8.38,596.6587112171837,8.35
2011-10-26,RENT3,0.5,5043.706293706294,5.72,874.1258741258741,5.77
2011-10-27,CGAS5,0.5,4982.100238663484,8.38,596.6587112171837,8.35
2011-10-27,RENT3,0.5,5096.153846153847,5.72,874.1258741258741,5.83
2011-10-28,CGAS5,0.5,4940.334128878281,8.38,596.6587112171837,8.28
2011-10-28,RENT3,0.5,5157.342657342658,5.72,874.1258741258741,5.9
2011-10-31,CGAS5,0.5,5023.866348448687,8.38,596.6587112171837,8.42
2011-10-31,RENT3,0.5,5087.4125874125875,5.72,874.1258741258741,5.82
2011-11-01,CGAS5,0.5,4862.768496420048,8.38,596.6587112171837,8.15
2011-11-01,RENT3,0.5,4930.06993006993,5.72,874.1258741258741,5.64
2011-11-03,CGAS5,0.5,4934.367541766109,8.38,596.6587112171837,8.27
2011-11-03,RENT3,0.5,4938.811188811189,5.72,874.1258741258741,5.65
2011-11-04,CGAS5,0.5,5035.799522673031,8.38,596.6587112171837,8.44
2011-11-04,RENT3,0.5,4973.7762237762245,5.72,874.1258741258741,5.69
2011-11-07,CGAS5,0.5,5029.8329355608585,8.38,596.6587112171837,8.43
2011-11-07,RENT3,0.5,4851.398601398601,5.72,874.1258741258741,5.55
2011-11-08,CGAS5,0.5,4886.634844868735,8.38,596.6587112171837,8.19
2011-11-08,RENT3,0.5,4763.986013986014,5.72,874.1258741258741,5.45
2011-11-09,CGAS5,0.5,4719.570405727924,8.38,596.6587112171837,7.91
2011-11-09,RENT3,0.5,4702.797202797203,5.72,874.1258741258741,5.38
2011-11-10,CGAS5,0.5,4737.470167064439,8.38,596.6587112171837,7.94
2011-11-10,RENT3,0.5,4790.20979020979,5.72,874.1258741258741,5.48
2011-11-11,CGAS5,0.5,4719.570405727924,8.38,596.6587112171837,7.91
2011-11-11,RENT3,0.5,4930.06993006993,5.72,874.1258741258741,5.64
2011-11-14,CGAS5,0.5,4809.069212410501,8.38,596.6587112171837,8.06
2011-11-14,RENT3,0.5,4956.293706293706,5.72,874.1258741258741,5.67
2011-11-16,CGAS5,0.5,4862.768496420048,8.38,596.6587112171837,8.15
2011-11-16,RENT3,0.5,5043.706293706294,5.72,874.1258741258741,5.77
2011-11-17,CGAS5,0.5,4916.467780429594,8.38,596.6587112171837,8.24
2011-11-17,RENT3,0.5,5078.671328671328,5.72,874.1258741258741,5.81
2011-11-18,CGAS5,0.5,4892.601431980906,8.38,596.6587112171837,8.2
2011-11-18,RENT3,0.5,5017.482517482517,5.72,874.1258741258741,5.74
2011-11-21,CGAS5,0.5,4856.801909307876,8.38,596.6587112171837,8.14
2011-11-21,RENT3,0.5,5078.671328671328,5.72,874.1258741258741,5.81
2011-11-22,CGAS5,0.5,4826.968973747016,8.38,596.6587112171837,8.09
2011-11-22,RENT3,0.5,5008.741258741259,5.72,874.1258741258741,5.73
2011-11-23,CGAS5,0.5,4785.202863961813,8.38,596.6587112171837,8.02
2011-11-23,RENT3,0.5,4833.916083916084,5.72,874.1258741258741,5.53
2011-11-24,CGAS5,0.5,4779.236276849641,8.38,596.6587112171837,8.01
2011-11-24,RENT3,0.5,4973.7762237762245,5.72,874.1258741258741,5.69
2011-11-25,CGAS5,0.5,4761.336515513127,8.38,596.6587112171837,7.98
2011-11-25,RENT3,0.5,5043.706293706294,5.72,874.1258741258741,5.77
2011-11-28,AUTM3,0.5,5108.401568582819,11.43,428.9170082773148,11.91
2011-11-28,ETER3,0.5,4955.504789147766,15.73,311.66696787092866,15.9
2011-11-29,AUTM3,0.5,5224.209160817694,11.43,428.9170082773148,12.18
2011-11-29,ETER3,0.5,4955.504789147766,15.73,311.66696787092866,15.9
2011-11-30,AUTM3,0.5,5284.257541976518,11.43,428.9170082773148,12.32
2011-11-30,ETER3,0.5,5011.604843364532,15.73,311.66696787092866,16.08
2011-12-01,AUTM3,0.5,5331.438412887022,11.43,428.9170082773148,12.43
2011-12-01,ETER3,0.5,5030.304861436789,15.73,311.66696787092866,16.14
2011-12-02,AUTM3,0.5,5147.004099327777,11.43,428.9170082773148,12.0
2011-12-02,ETER3,0.5,5011.604843364532,15.73,311.66696787092866,16.08
2011-12-05,AUTM3,0.5,5061.220697672315,11.43,428.9170082773148,11.8
2011-12-05,ETER3,0.5,5030.304861436789,15.73,311.66696787092866,16.14
2011-12-06,AUTM3,0.5,5044.064017341222,11.43,428.9170082773148,11.76
2011-12-06,ETER3,0.5,5061.4715582238805,15.73,311.66696787092866,16.24
2011-12-07,AUTM3,0.5,5069.799037837861,11.43,428.9170082773148,11.82
2011-12-07,ETER3,0.5,5067.7048975813,15.73,311.66696787092866,16.26
2011-12-08,AUTM3,0.5,5224.209160817694,11.43,428.9170082773148,12.18
2011-12-08,ETER3,0.5,5008.488173685823,15.73,311.66696787092866,16.07
2011-12-09,AUTM3,0.5,5297.125052224837,11.43,428.9170082773148,12.35
2011-12-09,ETER3,0.5,5067.7048975813,15.73,311.66696787092866,16.26
2011-12-12,AUTM3,0.5,5301.4142223076105,11.43,428.9170082773148,12.36
2011-12-12,ETER3,0.5,5039.654870472917,15.73,311.66696787092866,16.17
2011-12-13,AUTM3,0.5,5147.004099327777,11.43,428.9170082773148,12.0
2011-12-13,ETER3,0.5,4967.971467862602,15.73,311.66696787092866,15.94
2011-12-14,AUTM3,0.5,5207.052480486602,11.43,428.9170082773148,12.14
2011-12-14,ETER3,0.5,5067.7048975813,15.73,311.66696787092866,16.26
