data,ticker,peso,dinheiro_por_acao,preco_compra,quantidade_acoes,preco_fechamento_ajustado
2011-10-26,CGAS5,0.5,4982.100238663484,8.38,596.6587112171837,8.35
2011-10-26,RENT3,0.5,5049.928673323823,7.01,713.2667617689016,7.08
2011-10-27,CGAS5,0.5,4982.100238663484,8.38,596.6587112171837,8.35
2011-10-27,RENT3,0.5,5099.857346647646,7.01,713.2667617689016,7.15
2011-10-28,CGAS5,0.5,4940.334128878281,8.38,596.6587112171837,8.28
2011-10-28,RENT3,0.5,5156.918687589158,7.01,713.2667617689016,7.23
2011-10-31,CGAS5,0.5,5023.866348448687,8.38,596.6587112171837,8.42
2011-10-31,RENT3,0.5,5085.592011412268,7.01,713.2667617689016,7.13
2011-11-01,CGAS5,0.5,4862.768496420048,8.38,596.6587112171837,8.15
2011-11-01,RENT3,0.5,4935.805991440799,7.01,713.2667617689016,6.92
2011-11-03,CGAS5,0.5,4934.367541766109,8.38,596.6587112171837,8.27
2011-11-03,RENT3,0.5,4942.938659058488,7.01,713.2667617689016,6.93
2011-11-04,CGAS5,0.5,5035.799522673031,8.38,596.6587112171837,8.44
2011-11-04,RENT3,0.5,4978.601997146933,7.01,713.2667617689016,6.98
2011-11-07,CGAS5,0.5,5029.8329355608585,8.38,596.6587112171837,8.43
2011-11-07,RENT3,0.5,4850.21398002853,7.01,713.2667617689016,6.8
2011-11-08,CGAS5,0.5,4886.634844868735,8.38,596.6587112171837,8.19
2011-11-08,RENT3,0.5,4764.621968616262,7.01,713.2667617689016,6.68
2011-11-09,CGAS5,0.5,4719.570405727924,8.38,596.6587112171837,7.91
2011-11-09,RENT3,0.5,4707.56062767475,7.01,713.2667617689016,6.6
2011-11-10,CGAS5,0.5,4737.470167064439,8.38,596.6587112171837,7.94
2011-11-10,RENT3,0.5,4793.1526390870185,7.01,713.2667617689016,6.72
2011-11-11,CGAS5,0.5,4719.570405727924,8.38,596.6587112171837,7.91
2011-11-11,RENT3,0.5,4928.67332382311,7.01,713.2667617689016,6.91
2011-11-14,CGAS5,0.5,4809.069212410501,8.38,596.6587112171837,8.06
2011-11-14,RENT3,0.5,4964.336661911555,7.01,713.2667617689016,6.96
2011-11-16,CGAS5,0.5,4862.768496420048,8.38,596.6587112171837,8.15
2011-11-16,RENT3,0.5,5049.928673323823,7.01,713.2667617689016,7.08
2011-11-17,CGAS5,0.5,4916.467780429594,8.38,596.6587112171837,8.24
2011-11-17,RENT3,0.5,5078.45934379458,7.01,713.2667617689016,7.12
2011-11-18,CGAS5,0.5,4892.601431980906,8.38,596.6587112171837,8.2
2011-11-18,RENT3,0.5,5021.398002853067,7.01,713.2667617689016,7.04
2011-11-21,CGAS5,0.5,4856.801909307876,8.38,596.6587112171837,8.14
2011-11-21,RENT3,0.5,5085.592011412268,7.01,713.2667617689016,7.13
2011-11-22,CGAS5,0.5,4826.968973747016,8.38,596.6587112171837,8.09
2011-11-22,RENT3,0.5,5014.265335235378,7.01,713.2667617689016,7.03
2011-11-23,CGAS5,0.5,4785.202863961813,8.38,596.6587112171837,8.02
2011-11-23,RENT3,0.5,4843.081312410842,7.01,713.2667617689016,6.79
2011-11-24,CGAS5,0.5,4779.236276849641,8.38,596.6587112171837,8.01
2011-11-24,RENT3,0.5,4978.601997146933,7.01,713.2667617689016,6.98
2011-11-25,CGAS5,0.5,4761.336515513127,8.38,596.6587112171837,7.98
2011-11-25,RENT3,0.5,5049.928673323823,7.01,713.2667617689016,7.08
2011-11-28,AUTM3,0.5,5111.643412031847,11.43,429.18920336119623,11.91
2011-11-28,ETER3,0.5,4958.64960274976,15.73,311.864754889922,15.9
2011-11-29,AUTM3,0.5,5227.52449693937,11.43,429.18920336119623,12.18
2011-11-29,ETER3,0.5,4958.64960274976,15.73,311.864754889922,15.9
2011-11-30,AUTM3,0.5,5287.610985409938,11.43,429.18920336119623,12.32
2011-11-30,ETER3,0.5,5014.785258629945,15.73,311.864754889922,16.08
2011-12-01,AUTM3,0.5,5334.821797779669,11.43,429.18920336119623,12.43
2011-12-01,ETER3,0.5,5033.497143923341,15.73,311.864754889922,16.14
2011-12-02,AUTM3,0.5,5150.270440334355,11.43,429.18920336119623,12.0
2011-12-02,ETER3,0.5,5014.785258629945,15.73,311.864754889922,16.08
2011-12-05,AUTM3,0.5,5064.4325996621155,11.43,429.18920336119623,11.8
2011-12-05,ETER3,0.5,5033.497143923341,15.73,311.864754889922,16.14
2011-12-06,AUTM3,0.5,5047.265031527668,11.43,429.18920336119623,11.76
2011-12-06,ETER3,0.5,5064.6836194123325,15.73,311.864754889922,16.24
2011-12-07,AUTM3,0.5,5073.016383729339,11.43,429.18920336119623,11.82
